Date,Stock Price,P/E,P/B,ROE,ROA
4/5/2024,3.97,3.6541,0.3505,10.1943,0.7841
4/12/2024,3.99,3.6675,0.3516,10.1907,0.7832
4/19/2024,4.11,3.7795,0.3619,10.138,0.7796
4/26/2024,4.15,3.8162,0.3655,10.1357,0.7789
5/3/2024,4.28,3.9654,0.377,10.0722,0.7758
5/10/2024,4.53,4.1829,0.3976,10.0666,0.7415
5/17/2024,4.71,4.3574,0.4133,10.0434,0.739
5/24/2024,4.66,4.3659,0.4101,9.8863,0.6983
5/31/2024,4.42,4.1555,0.385,9.8009,0.6943
6/7/2024,4.42,4.1683,0.3854,9.7931,0.6909
6/14/2024,4.34,4.0961,0.3784,9.7853,0.6876
6/21/2024,4.52,4.2975,0.3942,9.7775,0.6842
6/28/2024,4.64,4.4114,0.4039,9.7696,0.6808
7/5/2024,4.7,4.4655,0.4086,9.7618,0.6775
7/12/2024,4.48,4.247,0.3881,9.754,0.6741
7/19/2024,4.25,4.0368,0.3685,9.7462,0.6631
7/26/2024,4.31,4.0885,0.3722,9.7383,0.6593
8/2/2024,4.32,4.023,0.3685,9.6681,0.6544
8/9/2024,4.39,4.0891,0.3741,9.6479,0.6537
8/16/2024,4.62,4.2986,0.3928,9.6333,0.6499
8/23/2024,4.72,4.3678,0.3987,9.6233,0.6461
8/30/2024,4.49,4.1132,0.3769,9.6137,0.6423
9/6/2024,4.21,3.8721,0.3528,9.5666,0.6351
9/13/2024,4.22,3.8839,0.3531,9.5417,0.6312
9/20/2024,4.39,4.0165,0.3648,9.5315,0.6274
9/27/2024,4.71,4.2962,0.3897,9.5213,0.6235
10/1/2024,4.64,4.2385,0.3842,9.5167,0.6218
